----------------------------------------
Begin Torque Prologue on nid25257
at Sat Nov 17 21:06:57 CST 2018
Job Id:			9232114.bw
Username:		traXXX
Group:			TRAIN_bauh
Job name:		mp9-part2
Requested resources:	nodes=1:ppn=16:xk,walltime=10:00:00,neednodes=1:ppn=16:xk
Queue:			normal
Account:		bauh
End Torque Prologue:  0.292 elapsed
----------------------------------------




>>>    Batch: 3312 | Accuracy: 50.0
>>>    Batch: 3328 | Accuracy: 50.0
>>>    Batch: 3344 | Accuracy: 50.0
>>>    Batch: 3360 | Accuracy: 25.0
>>>    Batch: 3376 | Accuracy: 31.25
>>>    Batch: 3392 | Accuracy: 43.75
>>>    Batch: 3408 | Accuracy: 25.0
>>>    Batch: 3424 | Accuracy: 50.0
>>>    Batch: 3440 | Accuracy: 37.5
>>>    Batch: 3456 | Accuracy: 43.75
>>>    Batch: 3472 | Accuracy: 62.5
>>>    Batch: 3488 | Accuracy: 56.25
>>>    Batch: 3504 | Accuracy: 56.25
>>>    Batch: 3520 | Accuracy: 37.5
>>>    Batch: 3536 | Accuracy: 43.75
>>>    Batch: 3552 | Accuracy: 56.25
>>>    Batch: 3568 | Accuracy: 50.0
>>>    Batch: 3584 | Accuracy: 37.5
>>>    Batch: 3600 | Accuracy: 81.25
>>>    Batch: 3616 | Accuracy: 50.0
>>>    Batch: 3632 | Accuracy: 68.75
>>>    Batch: 3648 | Accuracy: 50.0
>>>    Batch: 3664 | Accuracy: 50.0
>>>    Batch: 3680 | Accuracy: 68.75
>>>    Batch: 3696 | Accuracy: 56.25
>>>    Batch: 3712 | Accuracy: 50.0
>>>    Batch: 3728 | Accuracy: 68.75
>>>    Batch: 3744 | Accuracy: 62.5
>>>    Batch: 3760 | Accuracy: 43.75
>>>    Batch: 3776 | Accuracy: 87.5
>>>    Batch: 3792 | Accuracy: 56.25
>>>    Batch: 3808 | Accuracy: 31.25
>>>    Batch: 3824 | Accuracy: 68.75
>>>    Batch: 3840 | Accuracy: 62.5
>>>    Batch: 3856 | Accuracy: 43.75
>>>    Batch: 3872 | Accuracy: 62.5
>>>    Batch: 3888 | Accuracy: 62.5
>>>    Batch: 3904 | Accuracy: 43.75
>>>    Batch: 3920 | Accuracy: 50.0
>>>    Batch: 3936 | Accuracy: 43.75
>>>    Batch: 3952 | Accuracy: 62.5
>>>    Batch: 3968 | Accuracy: 56.25
>>>    Batch: 3984 | Accuracy: 68.75
>>>    Batch: 4000 | Accuracy: 62.5
>>>    Batch: 4016 | Accuracy: 31.25
>>>    Batch: 4032 | Accuracy: 62.5
>>>    Batch: 4048 | Accuracy: 43.75
>>>    Batch: 4064 | Accuracy: 31.25
>>>    Batch: 4080 | Accuracy: 62.5
>>>    Batch: 4096 | Accuracy: 43.75
>>>    Batch: 4112 | Accuracy: 56.25
>>>    Batch: 4128 | Accuracy: 68.75
>>>    Batch: 4144 | Accuracy: 31.25
>>>    Batch: 4160 | Accuracy: 81.25
>>>    Batch: 4176 | Accuracy: 56.25
>>>    Batch: 4192 | Accuracy: 62.5
Exception: /projects/training/bauh/AR/UCF-101-hdf5/Surfing/v_Surfing_g08_c03.hdf5
>>>    Batch: 4224 | Accuracy: 43.75
>>>    Batch: 4240 | Accuracy: 31.25
>>>    Batch: 4256 | Accuracy: 43.75
>>>    Batch: 4272 | Accuracy: 56.25
>>>    Batch: 4288 | Accuracy: 68.75
